0.391	0.625	1.6	Type	1.6	0.625	0.391
ghost	_	fighting	normalNormal	_	rocksteel	ghost
_	firegrassicebugsteelfairy	waterearthrock	fireFire	grassicebugsteel	firewaterrockdragon	_
_	firewatericesteel	grasselectric	waterWater	fireearthrock	watergrassdragon	_
_	watergrasselectricearth	fireicepoisonflyingbug	grassGrass	waterearthrock	firegrasspoisonflyingbugdragonsteel	_
_	electricflyingsteel	earth	electricElectric	waterflying	grasselectricdragon	earth
_	ice	firefightingrocksteel	iceIce	grassearthflyingdragon	firewatericesteel	_
_	bugrockdark	flyingpsychicfairy	fightingFighting	normalicerockdarksteel	poisonflyingpsychicbugfairy	ghost
_	grassfightingpoisonbugfairy	earthpsychic	poisonPoison	grassfairy	poisonearthrockghost	steel
electric	poisonrock	watergrassice	earthEarth	fireelectricpoisonrocksteel	grassbug	flying
earth	grassfightingbug	electricicerock	flyingFlying	grassfightingbug	electricrocksteel	_
_	fightingpsychic	bugghostdark	psychicPsychic	fightingpoison	psychicsteel	dark
_	grassfightingearth	fireflyingrock	bugBug	grasspsychicdark	firefightingpoisonflyingghoststeelfairy	_
_	normalfirepoisonflying	watergrassfightingearthsteel	rockRock	fireiceflyingbug	fightingearthsteel	_
normalfighting	poisonbug	ghostdark	ghostGhost	psychicghost	dark	normal
_	firewatergrasselectric	icedragonfairy	dragonDragon	dragon	steel	fairy
psychic	ghostdark	fightingbugfairy	darkDark	psychicghost	fightingdarkfairy	_
poison	normalgrassiceflyingpsychicbugrockdragonsteelfairy	firefightingearth	steelSteel	icerockfairy	firewaterelectricsteel	_
dragon	fightingbugdark	poisonsteel	fairyFairy	fightingdragondark	firepoisonsteel	_
